city,total,foreign,rate,value
음성군,"104,823","15,676",15,exist
영등포구,"394,083","55,524",14.1,exist
금천구,"249,747","32,851",13.2,exist
경기,"159,871","21,113",13.2,exist
안산시,"714,650","92,787",13,exist
구로구,"435,560","54,937",12.6,exist
영암군,"57,476","7,269",12.6,exist
진천군,"87,525","10,462",12,exist
시흥시,"508,749","59,634",11.7,exist
서울 중구,"130,957","13,796",10.5,exist
안성시,"202,284","19,999",9.9,exist
용산구,"227,181","22,332",9.8,exist
아산시,"347,032","32,271",9.3,exist
종로구,"154,969","14,195",9.2,exist
고령군,"32,191","2,841",8.8,exist
함안군,"66,611","5,752",8.6,exist
진도군,"29,295","2,521",8.6,exist
오산시,"233,998","18,605",8,exist
화성시,"838,635","65,040",7.8,exist
금산군,"54,442","4,201",7.7,exist
평택시,"521,172","39,835",7.6,exist
경주시,"264,314","19,958",7.6,exist
창녕군,"62,370","4,708",7.5,exist
김포시,"442,910","32,522",7.3,exist
완도군,"48,366","3,506",7.2,exist
강원 고성군,"27,144","1,887",7,exist
성주군,"41,314","2,810",6.8,exist
동대문구,"355,094","23,645",6.7,exist
광진구,"359,766","23,823",6.6,exist
당진시,"169,171","10,674",6.3,exist
완주군,"96,212","6,101",6.3,exist
논산시,"122,111","7,610",6.2,exist
부산 중구,"41,958","2,620",6.2,exist
서귀포시,"177,360","10,846",6.1,exist
관악구,"507,828","30,247",6,exist
광주시,"375,238","22,641",6,exist
경산시,"290,088","17,540",6,exist
동두천시,"96,541","5,784",6,exist
부산 강서구,"128,809","7,544",5.9,exist
김해시,"549,331","31,744",5.8,exist
양주시,"224,684","13,105",5.8,exist
이천시,"222,995","12,866",5.8,exist
연수구,"374,413","21,295",5.7,exist
서대문구,"319,394","18,179",5.7,exist
영천시,"100,487","5,712",5.7,exist
부천시,"836,751","46,807",5.6,exist
부평구,"514,385","28,564",5.6,exist
울주군,"226,501","12,582",5.6,exist
칠곡군,"118,517","6,583",5.6,exist
여주시 ,"111,981","6,323",5.6,exist
수원시,"1,214,986","67,073",5.5,exist
광산구,"423,310","23,334",5.5,exist
예산군,"78,963","4,363",5.5,exist
장성군,"42,193","2,322",5.5,exist
의령군,"26,040","1,395",5.4,exist
천안시,"679,743","35,781",5.3,exist
동작구,"400,368","20,697",5.2,exist
거제시,"251,226","13,129",5.2,exist
인천 중구,"131,863","6,800",5.2,exist
통영시,"129,931","6,725",5.2,exist
사천시,"111,110","5,803",5.2,exist
보령시,"99,320","5,116",5.2,exist
울진군,"47,651","2,486",5.2,exist
괴산군,"38,808","1,966",5.1,exist
함평군,"30,556","1,572",5.1,exist
정읍시,"107,348","5,354",5,exist
밀양시,"103,402","5,153",5,exist
영덕군,"35,672","1,798",5,exist