name,total,foreign,rate
상록구,373964,21066,5.6
일동,26227,1412,5.4
이동,28697,4744,16.5
사동,36710,3887,10.6
사이동,33644,775,2.3
해양동,43911,2806,6.4
본오1동,39683,2170,5.5
본오2동,27772,1285,4.6
본오3동,21619,1752,8.1
부곡동,22406,627,2.8
월피동,39184,830,2.1
성포동,26735,194,0.7
반월동,18102,380,2.1
안산동,9274,204,2.2
단원구,361727,59947,16.6
와동,41342,2673,6.5
고잔동,22537,813,3.6
중앙동,25683,524,2.0
호수동,44612,529,1.2
원곡동,32302,26146,80.9
백운동,24601,6298,25.6
신길동,26720,4078,15.3
초지동,52389,5220,10.0
선부1동,19864,1952,9.8
선부2동,24978,8858,35.5
선부3동,37532,2692,7.2
대부동,9167,164,1.8